Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw) (Höchstleistung)",Bezogene Strommenge,Einheit,Anlage EEG gefördert?
Greenpeace Energy,Alpenrose,Laufwasserkraftwerk,Wasser,,1990.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,150.0,,,
Greenpeace Energy,Aselkam,Laufwasserkraftwerk,Wasser,,2012.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,220.0,,,
Greenpeace Energy,Direktionsbrücke,Laufwasserkraftwerk,Wasser,,2012.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570.0,,,
Greenpeace Energy,Dorferalm,Laufwasserkraftwerk,Wasser,,2008.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,570.0,,,
Greenpeace Energy,Feldkirchen,Laufwasserkraftwerk,Wasser,,1970.0,Deutschland,,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,38200.0,,,
Greenpeace Energy,Flitzenbach,Laufwasserkraftwerk,Wasser,,2013.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,610.0,,,
Greenpeace Energy,Fuscher Ache 2,Laufwasserkraftwerk,Wasser,,1970.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,340.0,,,
Greenpeace Energy,Gaalbach Gaal,Laufwasserkraftwerk,Wasser,,2008.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,375.0,,,
Greenpeace Energy,Grießbach,Laufwasserkraftwerk,Wasser,,2011.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,260.0,,,
Greenpeace Energy,Grödig-2 AlmKW Schützenstr.,Laufwasserkraftwerk,Wasser,,2003.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,95.0,,,
Greenpeace Energy,Hoheneich,Laufwasserkraftwerk,Wasser,,1989.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,117.0,,,
Greenpeace Energy,Hubalpenbach,Laufwasserkraftwerk,Wasser,,1985.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1800.0,,,
Greenpeace Energy,Klappacher,Laufwasserkraftwerk,Wasser,,1993,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,155.0,,,
Greenpeace Energy,Ködnitzbach Oberstufe,Laufwasserkraftwerk,Wasser,,1992.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,213.0,,,
Greenpeace Energy,Ködnitzbach USt. u. Medlbach,Laufwasserkraftwerk,Wasser,,1998.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,564.0,,,
Greenpeace Energy,Kristeinbach (Werk 3),Laufwasserkraftwerk,Wasser,,1973.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2550.0,,,
Greenpeace Energy,Lenz ,Laufwasserkraftwerk,Wasser,,1990.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,75.0,,,
Greenpeace Energy,Lorenzerbach II,Laufwasserkraftwerk,Wasser,,2011.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1040.0,,,
Greenpeace Energy,Märzenbach,Laufwasserkraftwerk,Wasser,,2009.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2269.0,,,
Greenpeace Energy,Melk,Laufwasserkraftwerk,Wasser,,1982.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,187000.0,,,
Greenpeace Energy,Mödringbach,Laufwasserkraftwerk,Wasser,,2012.0,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,620.0,,,
Greenpeace Energy,Neubruck,Laufwasserkraftwerk,Wasser,,2010.0,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1200.0,,,
Greenpeace Energy,Oismühle,Laufwasserkraftwerk,Wasser,,2007.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1500.0,,,
Greenpeace Energy,Reding,Laufwasserkraftwerk,Wasser,,1984.0,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,320.0,,,
Greenpeace Energy,Schönbergbach,Laufwasserkraftwerk,Wasser,,2012.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,160.0,,,
Greenpeace Energy,"Thalerbach (Stufe 1, M1)",Laufwasserkraftwerk,Wasser,,1964.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1100.0,,,
Greenpeace Energy,Thalerbach (Stufe 2),Laufwasserkraftwerk,Wasser,,2005.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1530.0,,,
Greenpeace Energy,Thalerbach OSt Fassungsbereich der Stufe 1,Laufwasserkraftwerk,Wasser,,1964.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1080.0,,,
Greenpeace Energy,Triebentalbach,Laufwasserkraftwerk,Wasser,,2006.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1820.0,,,
Greenpeace Energy,Turrachbach,Laufwasserkraftwerk,Wasser,,2013.0,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,1660.0,,,
Greenpeace Energy,Villach (AHP) 1,Laufwasserkraftwerk,Wasser,,1984.0,Österreich,,,VERBUND Hydro Power GmbH,VERBUND Hydro Power GmbH,24600.0,,,
Greenpeace Energy,Vorfusch,Laufwasserkraftwerk,Wasser,,1986.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600.0,,,
Greenpeace Energy,Waidhofen an der Ybbs,Laufwasserkraftwerk,Wasser,,2011.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,5300.0,,,
Greenpeace Energy,Windache,Laufwasserkraftwerk,Wasser,,2005.0,Österreich,,,Next Kraftwerke GmbH,Next Kraftwerke GmbH,2690.0,,,
Greenpeace Energy,Breitsprecher,Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,3600.0,,,
Greenpeace Energy,Bruck/Leitha (WEA 1-5),Windenergieanlagen,Wind,,2000.0,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,9000.0,,,
Greenpeace Energy,Enzinger,Windenergieanlagen,Wind,,1996.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,200.0,,,
Greenpeace Energy,Eschenau,Windenergieanlagen,Wind,,2000.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1000.0,,,
Greenpeace Energy,Freudenau (oekostrom Produktions GmbH),Windenergieanlagen,Wind,,1998.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600.0,,,
Greenpeace Energy,Hipples,Windenergieanlagen,Wind,,2000.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4620.0,,,
Greenpeace Energy,Höflein (Ökoenergie Management GmbH),Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000.0,,,
Greenpeace Energy,Hollern,Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000.0,,,
Greenpeace Energy,"Ing. Schartner Rudolf, WP Japons",Windenergieanlagen,Wind,,2005.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000.0,,,
Greenpeace Energy,Kreuzstetten,Windenergieanlagen,Wind,,2005.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,26000.0,,,
Greenpeace Energy,LGM ,Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000.0,,,
Greenpeace Energy,Markgrafneusiedl II,Windenergieanlagen,Wind,,2006.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,3600.0,,,
Greenpeace Energy,Mönchhof,Windenergieanlagen,Wind,,2001.0,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,10000.0,,,
Greenpeace Energy,Norden 2 (Bulla),Windenergieanlagen,Wind,,1991.0,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,150.0,,,
Greenpeace Energy,Norden 3 (Bulla),Windenergieanlagen,Wind,,1994.0,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,230.0,,,
Greenpeace Energy,Oberrödham (Energie von A bis Z GmbH & Co),Windenergieanlagen,Wind,,1999.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1980.0,,,
Greenpeace Energy,Pannonia (KG Mönchhof),Windenergieanlagen,Wind,,2003.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000.0,,,
Greenpeace Energy,Parndorf,Windenergieanlagen,Wind,,2003.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,7500.0,,,
Greenpeace Energy,Parndorf 2,Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,12000.0,,,
Greenpeace Energy,Petronell-Carnuntum GmbH,Windenergieanlagen,Wind,,2004.0,Österreich,,,VERBUND Renewable Power GmbH,VERBUND Renewable Power GmbH,22000.0,,,
Greenpeace Energy,Pömmern (FranzBollwein),Windenergieanlagen,Wind,,1996.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,200.0,,,
Greenpeace Energy,Potzneusiedl ,Windenergieanlagen,Wind,,2004.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,4000.0,,,
Greenpeace Energy,Poysdorf und  Wilfersdorf,Windenergieanlagen,Wind,,2005.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000.0,,,
Greenpeace Energy,Präbichl (AlexandraSchartner),Windenergieanlagen,Wind,,2001.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,600.0,,,
Greenpeace Energy,Rannersdorf,Windenergieanlagen,Wind,,2005.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,8000.0,,,
Greenpeace Energy,Simonsfeld ,Windenergieanlagen,Wind,,2003.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,18000.0,,,
Greenpeace Energy,Soltau Moide,Windenergieanlagen,Wind,,2006.0,Deutschland ,,(Niedersachsen),GPE Direktvermarktung,GPE Direktvermarktung,1300.0,,,
Greenpeace Energy,Steiglberg,Windenergieanlagen,Wind,,2002.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,2000.0,,,
Greenpeace Energy,Steindlberg,Windenergieanlagen,Wind,,2001.0,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,1320.0,,,
Greenpeace Energy,Wolkersdorf,Windenergieanlagen,Wind,,2003,Österreich,,,oekostrom Handels GmbH,oekostrom Handels GmbH,6600.0,,,
Greenpeace Energy,Sunnic Lighthouse Solar Invest 2 GmbH ,Solar,Solar,,2015.0,Deutschland,,Sachsen-Anhalt,Sunnic Lighthouse GmbH,Sunnic Lighthouse GmbH,2200.0,,,
Greenpeace Energy,Zeithain BA 4 und 5,Solar,Solar,,2018.0,Deutschland,,Sachsen-Anhalt,Sunnic Lighthouse GmbH,Sunnic Lighthouse GmbH,29413.0,,,
